"split","aAcc","fAcc","qAcc"
"Overall","47.213459516298634","18.497109826589593","20.87912087912088"
"VD","46.53130287648054","21.304347826086957","19.133574007220215"
"VS","48.333333333333336","12.931034482758621","23.595505617977526"
"VD_math","52.77777777777778","16.666666666666664","29.629629629629626"
"VS_ocr","24.074074074074073","7.6923076923076925","3.7037037037037033"
"VD_illusion","40.97222222222222","20.967741935483872","13.88888888888889"
"VS_chart","50.76923076923077","20.0","31.57894736842105"
"VS_map","43.75","13.636363636363635","9.375"
"VD_ocr","58.42696629213483","37.2093023255814","27.906976744186046"
"VD_video","37.05882352941177","4.166666666666666","10.144927536231885"
"VS_table","59.82142857142857","7.142857142857142","32.55813953488372"
"VD_figure","55.00000000000001","29.268292682926827","20.51282051282051"
