"split","aAcc","fAcc","qAcc"
"Overall","52.78654048370137","26.300578034682083","25.054945054945055"
"VD","53.80710659898477","28.695652173913043","25.27075812274368"
"VS","51.11111111111111","21.551724137931032","24.719101123595504"
"VS_chart","46.92307692307692","22.5","28.947368421052634"
"VD_figure","56.25","34.146341463414636","28.205128205128204"
"VD_video","47.647058823529406","12.5","10.144927536231885"
"VD_illusion","51.388888888888886","25.806451612903224","20.833333333333336"
"VS_map","42.1875","18.181818181818183","9.375"
"VD_math","47.22222222222222","11.11111111111111","22.22222222222222"
"VS_ocr","51.85185185185185","26.923076923076923","7.4074074074074066"
"VS_table","60.71428571428571","17.857142857142858","39.53488372093023"
"VD_ocr","75.28089887640449","60.46511627906976","58.139534883720934"
