"Task&Skill","tot","prefetch","hit","prefetch_rate","acc"
"Overall","1000","573","579","57.3","57.9"
"scientific reasoning","122","84","69","68.85245901639344","56.557377049180324"
"textbook question answering","158","96","90","60.75949367088608","56.9620253164557"
"numeric commonsense","144","45","55","31.25","38.19444444444444"
"arithmetic reasoning","353","159","207","45.04249291784703","58.640226628895185"
"visual question answering","179","94","90","52.513966480446925","50.27932960893855"
"geometry reasoning","239","156","131","65.27196652719665","54.811715481171554"
"algebraic reasoning","281","181","147","64.41281138790036","52.313167259786475"
"geometry problem solving","208","146","114","70.1923076923077","54.807692307692314"
"math word problem","186","83","122","44.623655913978496","65.59139784946237"
"logical reasoning","37","14","7","37.83783783783784","18.91891891891892"
"figure question answering","269","154","163","57.249070631970255","60.594795539033456"
"statistical reasoning","301","162","210","53.820598006644516","69.76744186046511"
